"type","name","fullname","label","labelReport","hintReport","chapter","disaggregation","correlate","structuralequation.risk","structuralequation.coping","structuralequation.resilience","anonymise","clean","cluster","predict","mappoint","mappoly","relevant","required","constraint","repeat_count","listname","qrepeat","qrepeatlabel","qlevel","qgroup","labelchoice","variable","order","weight","score","recategorise","formpart"
"integer","TotalCredit","Welfare.IncomeExpenditure.BorrowingDebt.TotalCredit","What is the current total debt up to now from receiving credit that has not yet been ","What is the current total debt up to now from receiving credit that has not yet",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 1 and .<=50000 )",,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.BorrowingDebt","What is the current total debt up to now from receiving credit that has not yet",,"","","","","questions"
"end_group","BorrowingDebt","Welfare.IncomeExpenditure.BorrowingDebt","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.IncomeExpenditure",,,"","","","","questions"
"begin_group","Income","Welfare.IncomeExpenditure.Income.Income","Income","Income",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.Income","Income",,"","","","","questions"
"begin_group","IncomeSources","Welfare.IncomeExpenditure.Income.IncomeSources.IncomeSources","Income sources","Income sources",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","Income sources",,"","","","","questions"
"select_one","TopIncomeSources","Welfare.IncomeExpenditure.Income.IncomeSources.TopIncomeSources","In the past 30 days, what was the MAIN source of cash/income used to sustain your hou","In the past 30 days, what was the MAIN source of cash/income used to sustain you",,"Budget_analysis",,,,,,,"no",,,,,,,,," income_source","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","In the past 30 days, what was the MAIN source of cash/income used to sustain you",,"","","","","questions"
"text","FirstIncomeSourceOth","Welfare.IncomeExpenditure.Income.IncomeSources.FirstIncomeSourceOth","Please specify other main source of cash/income used to sustain your household:","Please specify other main source of cash/income used to sustain your household:",,,,,,,,,"no",,,,,"selected(${TopIncomeSources},'other')","yes",,,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","Please specify other main source of cash/income used to sustain your household:",,"","","","","questions"
"select_multiple_d","OtherIncomeSource","Welfare.IncomeExpenditure.Income.IncomeSources.OtherIncomeSource","In the past 30 days, what would you say were other main sources of cash/income used t","In the past 30 days, what would you say were other main sources of cash/income u",,"Budget_analysis",,,,,,,"no",,,,,"name!=${TopIncomeSources}",,"count-selected(.)<4",,"income_source","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","In the past 30 days, what would you say were other main sources of cash/income u",,"","","","","questions"
"text","OtherIncomeSourceOth","Welfare.IncomeExpenditure.Income.IncomeSources.OtherIncomeSourceOth","Please specify other sources of cash/income used to sustain your household:","Please specify other sources of cash/income used to sustain your household:",,,,,,,,,"no",,,,,"selected(${OtherIncomeSource},'other')",,,,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","Please specify other sources of cash/income used to sustain your household:",,"","","","","questions"
"integer","RemittancesTotal","Welfare.IncomeExpenditure.Income.IncomeSources.RemittancesTotal","What is the total amount of remittances from friends and family outside the country r","What is the total amount of remittances from friends and family outside the coun","Add comment that constraint has to be changed according to local currency norms","Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 1 and .<=50000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","What is the total amount of remittances from friends and family outside the coun",,"","","","","questions"
"integer","IncomeTotal","Welfare.IncomeExpenditure.Income.IncomeSources.IncomeTotal","In the past 30 days, what was the total income (from employment) of all the household","In the past 30 days, what was the total income (from employment) of all the hous",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 50 and .<=50000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Income.IncomeSources","In the past 30 days, what was the total income (from employment) of all the hous",,"","","","","questions"
"end_group","IncomeSources","Welfare.IncomeExpenditure.Income.IncomeSources","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.Income",,,"","","","","questions"
"end_group","Income","Welfare.IncomeExpenditure.Income","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.IncomeExpenditure",,,"","","","","questions"
"begin_group","Expenditure","Welfare.IncomeExpenditure.Expenditure.Expenditure","Expenditure","Expenditure",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.Expenditure","Expenditure",,"","","","","questions"
"integer","ExpenditureTotal","Welfare.IncomeExpenditure.Expenditure.ExpenditureTotal","Over the past 30 days, what was the total household expenditure? (In local currency)","Over the past 30 days, what was the total household expenditure? (In local curre",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 50 and .<=50000 )",,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.Expenditure","Over the past 30 days, what was the total household expenditure? (In local curre",,"","","","","questions"
"begin_group","ExpenditureAll","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureAll","Expenditure details - All","Expenditure details - All",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Expenditure details - All",,"","","","","questions"
"note","ExpenditureDetail","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureDetail","What is the estimated total amount spent by the household during the past 30 days on ","What is the estimated total amount spent by the household during the past 30 day",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","What is the estimated total amount spent by the household during the past 30 day",,"","","","","questions"
"integer","ExpenditureFood","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureFood","Amount spent by the household during the past 30 days on food","Amount spent by the household during the past 30 days on food","Do you share this with anyone who is not registered on the same case as you? Ask Paolo how to deal with situation where our sample unit does not live on their own and how do we record expenditure","Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on food",,"","","","","questions"
"integer","ExpenditureHealth","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureHealth","Amount spent by the household during the past 30 days on health and medical costs","Amount spent by the household during the past 30 days on health and medical cost",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on health and medical cost",,"","","","","questions"
"integer","ExpenditureEducation","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureEducation","Amount spent by the household during the past 30 days on education costs (include onl","Amount spent by the household during the past 30 days on education costs (includ",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on education costs (includ",,"","","","","questions"
"integer","ExpenditureRent","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureRent","Amount spent by the household during the past 30 days on rent","Amount spent by the household during the past 30 days on rent",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on rent",,"","","","","questions"
"integer","ExpenditureShelter","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureShelter","Amount spent by the household during the past 30 days on shelter materials","Amount spent by the household during the past 30 days on shelter materials",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on shelter materials",,"","","","","questions"
"integer","ExpenditureWater","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureWater","Amount spent by the household during the past 30 days on water","Amount spent by the household during the past 30 days on water",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on water",,"","","","","questions"
"integer","ExpenditureGas","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureGas","Amount spent by the household during the past 30 days on gas","Amount spent by the household during the past 30 days on gas",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on gas",,"","","","","questions"
"integer","ExpenditureFuel","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureFuel","Amount spent by the household during the past 30 days on fuel (do not include fuel fo","Amount spent by the household during the past 30 days on fuel (do not include fu",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on fuel (do not include fu",,"","","","","questions"
"integer","ExpenditureTransport","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureTransport","Amount spent by the household during the past 30 days on transport (including fuel)","Amount spent by the household during the past 30 days on transport (including fu",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on transport (including fu",,"","","","","questions"
"integer","ExpenditureElectricity","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureElectricity","Amount spent by the household during the past 30 days on electricity","Amount spent by the household during the past 30 days on electricity",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on electricity",,"","","","","questions"
"integer","ExpenditureClothing","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureClothing","Amount spent by the household during the past 30 days on clothing","Amount spent by the household during the past 30 days on clothing",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on clothing",,"","","","","questions"
"integer","ExpenditureComm","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureComm","Amount spent by the household during the past 30 days on communications (mobile, inte","Amount spent by the household during the past 30 days on communications (mobile,",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on communications (mobile,",,"","","","","questions"
"integer","ExpenditureHygiene","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureHygiene","Amount spent by the household during the past 30 days on soap and other household hyg","Amount spent by the household during the past 30 days on soap and other househol",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on soap and other househol",,"","","","","questions"
"integer","ExpenditureHousehold","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureHousehold","Amount spent by the household during the past 30 days on household items or assets (s","Amount spent by the household during the past 30 days on household items or asse",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on household items or asse",,"","","","","questions"
"integer","ExpenditureEntertain","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureEntertain","Amount spent by the household during the past 30 days on entertainment","Amount spent by the household during the past 30 days on entertainment",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on entertainment",,"","","","","questions"
"integer","ExpenditureTobacco","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureTobacco","Amount spent by the household during the past 30 days on alcohol / tobacco / wine","Amount spent by the household during the past 30 days on alcohol / tobacco / win",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on alcohol / tobacco / win",,"","","","","questions"
"integer","DebtRepayment","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.DebtRepayment","Amount spent by the household during the past 30 days on debt repayment","Amount spent by the household during the past 30 days on debt repayment",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on debt repayment",,"","","","","questions"
"integer","ExpenditureDocumentation","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureDocumentation","Amount spent by the household on legal and registration fees (legal residency, birth ","Amount spent by the household on legal and registration fees (legal residency, b",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household on legal and registration fees (legal residency, b",,"","","","","questions"
"integer","ExpenditureOthers","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.ExpenditureOthers","Amount spent by the household during the past 30 days on all other expenditures, such","Amount spent by the household during the past 30 days on all other expenditures,",,"Budget_analysis",,,,,,,"no",,,,,,"yes",".= 0 or ( .>= 10 and .<=10000 )",,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Amount spent by the household during the past 30 days on all other expenditures,",,"","","","","questions"
"calculate","TotalExpenditure","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll.TotalExpenditure","Total expenditure","Total expenditure",,"Budget_analysis",,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","Total expenditure",,"","","","","questions"
"end_group","ExpenditureAll","Welfare.IncomeExpenditure.Expenditure.ExpenditureAll","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.Expenditure",,,"","","","","questions"
"note","TotalExpenditureWarning","Welfare.IncomeExpenditure.Expenditure.TotalExpenditureWarning","NOTE: The total amount of expenditure at the beginning of the section was ${Expenditu","NOTE: The total amount of expenditure at the beginning of the section was ${Expe",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.IncomeExpenditure.Expenditure","NOTE: The total amount of expenditure at the beginning of the section was ${Expe",,"","","","","questions"
"end_group","Expenditure","Welfare.IncomeExpenditure.Expenditure","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.IncomeExpenditure",,,"","","","","questions"
"end_group","IncomeExpenditure","Welfare.IncomeExpenditure","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","Welfare",,,"","","","","questions"
"begin_group","CleaningAndHygiene","Welfare.CleaningAndHygiene.CleaningAndHygiene","Sanitary sub-section","Sanitary sub-section",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.CleaningAndHygiene","Sanitary sub-section",,"","","","","questions"
"note","AccessCleanHygie","Welfare.CleaningAndHygiene.AccessCleanHygie","Does the household have enough access to the following:","Does the household have enough access to the following:",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.CleaningAndHygiene","Does the household have enough access to the following:",,"","","","","questions"
"select_one","PersonalHygiene","Welfare.CleaningAndHygiene.PersonalHygiene","Personal hygiene items (soap, toothbrush/paste, other personal hygiene items) - exclu","Personal hygiene items (soap, toothbrush/paste, other personal hygiene items) -",,"WASH",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level2","Welfare.CleaningAndHygiene","Personal hygiene items (soap, toothbrush/paste, other personal hygiene items) -",,"","","","","questions"
"select_one","CleaningItems","Welfare.CleaningAndHygiene.CleaningItems","Cleaning/hygiene items (laundry detergent, cleaning products etc)","Cleaning/hygiene items (laundry detergent, cleaning products etc)",,"WASH",,,,,,,"no",,,,,,"yes",,," yesno","","MainDataFrame","level2","Welfare.CleaningAndHygiene","Cleaning/hygiene items (laundry detergent, cleaning products etc)",,"","","","","questions"
"select_one","FemaleHygiene","Welfare.CleaningAndHygiene.FemaleHygiene","Female hygiene/dignity items","Female hygiene/dignity items",,"WASH",,,,,,,"no",,,,,,"yes",,," yesnona","","MainDataFrame","level2","Welfare.CleaningAndHygiene","Female hygiene/dignity items",,"","","","","questions"
"select_one","BabyCare","Welfare.CleaningAndHygiene.BabyCare","Baby care items (diapers, etc.)","Baby care items (diapers, etc.)",,"WASH",,,,,,,"no",,,,,,"yes",,," yesnona","","MainDataFrame","level2","Welfare.CleaningAndHygiene","Baby care items (diapers, etc.)",,"","","","","questions"
"end_group","CleaningAndHygiene","Welfare.CleaningAndHygiene","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level1","Welfare",,,"","","","","questions"
"begin_group","FoodSecurity","Welfare.FoodSecurity.FoodSecurity","Food Security","Food Security",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.FoodSecurity","Food Security",,"","","","","questions"
"begin_group","ConsumptionDetails","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionDetails","Household Consumption and Diet","Household Consumption and Diet",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.FoodSecurity.ConsumptionDetails","Household Consumption and Diet",,"","","","","questions"
"integer","MealsAdult","Welfare.FoodSecurity.ConsumptionDetails.MealsAdult","How many meals (warm and cooked or prepared) did the adults of this household eat yes","How many meals (warm and cooked or prepared) did the adults of this household ea",,"Food_Security",,,,,,,"no",,,,,,"yes","(.>= 0 and .<=5) or .=99",,"","","MainDataFrame","level3","Welfare.FoodSecurity.ConsumptionDetails","How many meals (warm and cooked or prepared) did the adults of this household ea",,"","","","","questions"
"integer","MealsChild","Welfare.FoodSecurity.ConsumptionDetails.MealsChild","How many meals (warm and cooked or prepared) did the children under 5 of this househo","How many meals (warm and cooked or prepared) did the children under 5 of this ho",,"Food_Security",,,,,,,"no",,,,,,"yes","(.>= 0 and .<=5) or .=99",,"","","MainDataFrame","level3","Welfare.FoodSecurity.ConsumptionDetails","How many meals (warm and cooked or prepared) did the children under 5 of this ho",,"","","","","questions"
"begin_group","ConsumptionGroups","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.ConsumptionGroups","Consumption details","Consumption details",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Consumption details",,"","","","","questions"
"integer","CerealTubersGrp","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.CerealTubersGrp","Over the past 7 days, how many days did members of your household eat: Tubers (potato","Over the past 7 days, how many days did members of your household eat: Tubers (p",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Tubers (p",,"","","","","questions"
"integer","RootsCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.RootsCons","Over the past 7 days, how many days did members of your household eat:  Legumes / nut","Over the past 7 days, how many days did members of your household eat:  Legumes",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat:  Legumes",,"","","","","questions"
"integer","MilkCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.MilkCons","Over the past 7 days, how many days did members of your household eat: Milk and other","Over the past 7 days, how many days did members of your household eat: Milk and",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Milk and",,"","","","","questions"
"integer","FleshMeatCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.FleshMeatCons","Over the past 7 days, how many days did members of your household eat: Flesh meat: be","Over the past 7 days, how many days did members of your household eat: Flesh mea",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Flesh mea",,"","","","","questions"
"integer","OrganMeatCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.OrganMeatCons","Over the past 7 days, how many days did members of your household eat: Organ meat: li","Over the past 7 days, how many days did members of your household eat: Organ mea",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Organ mea",,"","","","","questions"
"integer","FishCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.FishCons","Over the past 7 days, how many days did members of your household eat: Fish/shellfish","Over the past 7 days, how many days did members of your household eat: Fish/shel",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Fish/shel",,"","","","","questions"
"integer","EggsCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.EggsCons","Over the past 7 days, how many days did members of your household eat: Eggs","Over the past 7 days, how many days did members of your household eat: Eggs",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Eggs",,"","","","","questions"
"integer","OrangeVegCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.OrangeVegCons","How many days over the past 7 days, did members of your household eat: Orange vegetab","How many days over the past 7 days, did members of your household eat: Orange ve",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","How many days over the past 7 days, did members of your household eat: Orange ve",,"","","","","questions"
"integer","GreenLeafyCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.GreenLeafyCons","Over the past 7 days, how many days did members of your household eat: Green leafy ve","Over the past 7 days, how many days did members of your household eat: Green lea",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Green lea",,"","","","","questions"
"integer","OtherVegCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.OtherVegCons","Over the past 7 days, how many days did members of your household eat: Other vegetabl","Over the past 7 days, how many days did members of your household eat: Other veg",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Other veg",,"","","","","questions"
"integer","OrangeFruitsGrp","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.OrangeFruitsGrp","Over the past 7 days, how many days did members of your household eat: Fruits: banana","Over the past 7 days, how many days did members of your household eat: Fruits: b",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Fruits: b",,"","","","","questions"
"integer","OilCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.OilCons","Over the past 7 days, how many days did members of your household eat: Oil / fat / bu","Over the past 7 days, how many days did members of your household eat: Oil / fat",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Oil / fat",,"","","","","questions"
"integer","SugarCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.SugarCons","Over the past 7 days, how many days did members of your household eat: Sugar, or swee","Over the past 7 days, how many days did members of your household eat: Sugar, or",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Sugar, or",,"","","","","questions"
"integer","SpicesCons","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups.SpicesCons","Over the past 7 days, how many days did members of your household eat: Condiments / S","Over the past 7 days, how many days did members of your household eat: Condiment",,"Food_Security",,,,,,,"no",,,,,,"yes",".>= 0 and .<=7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","Over the past 7 days, how many days did members of your household eat: Condiment",,"","","","","questions"
"end_group","ConsumptionGroups","Welfare.FoodSecurity.ConsumptionDetails.ConsumptionGroups","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.FoodSecurity.ConsumptionDetails",,,"","","","","questions"
"end_group","ConsumptionDetails","Welfare.FoodSecurity.ConsumptionDetails","NA",,,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level2","Welfare.FoodSecurity",,,"","","","","questions"
"begin_group","Coping","Welfare.FoodSecurity.Coping.Coping","Coping Strategies","Coping Strategies",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level3","Welfare.FoodSecurity.Coping","Coping Strategies",,"","","","","questions"
"begin_group","FoodCoping","Welfare.FoodSecurity.Coping.FoodCoping.FoodCoping","Food Coping Strategies","Food Coping Strategies",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.FoodSecurity.Coping.FoodCoping","Food Coping Strategies",,"","","","","questions"
"note","FoodStrategy","Welfare.FoodSecurity.Coping.FoodCoping.FoodStrategy","During the past 7 days, how many days did your household have to use the following st","During the past 7 days, how many days did your household have to use the followi",,,,,,,,,"no",,,,,,,,,"","","MainDataFrame","level4","Welfare.FoodSecurity.Coping.FoodCoping","During the past 7 days, how many days did your household have to use the followi",,"","","","","questions"
"integer","LessExpensive","Welfare.FoodSecurity.Coping.FoodCoping.LessExpensive","Rely on less expensive/less preferred food","Rely on less expensive/less preferred food",,"Food_Security",,,,,,,"no",,,,,,"yes",".= 0 or .<= 7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.Coping.FoodCoping","Rely on less expensive/less preferred food",,"","","","","questions"
"integer","BorrowedFood","Welfare.FoodSecurity.Coping.FoodCoping.BorrowedFood","Borrow food and/or relied on help from friends/relatives","Borrow food and/or relied on help from friends/relatives",,"Food_Security",,,,,,,"no",,,,,,"yes",".= 0 or .<= 7",,"","","MainDataFrame","level4","Welfare.FoodSecurity.Coping.FoodCoping","Borrow food and/or relied on help from friends/relatives",,"","","","","questions"
